B	face egg shape 
N	doesn t fat face 
C	face shape square 
B	round egg shape face wrinkle face color yellow chin round 
D	beard long face 
C	square face broad m shaped forehead 
A	face round shape 
A	beard round face 
C	face rectangle shape skin beige clean 
A	round face 
N	tile weight face jaw 
B	oval face 
D	beard long face 
E	elongate v shaped face bright beige skin good skin texture 
A	beard round face 
A	face round shape 
A	face round cheek plump skin alabaster clean 
B	face oval 
B	face oval 
E	v shaped face yellowish brown skin good skin texture 
D	beard long face 
N	form angle face large ear 
B	oval face light beige skin good skin texture 
A	face round shape 
A	face round shape 
A	face round tip chin slightly point 
B	face egg shape 
A	face round shape 
C	short sideburns mouth chin face wide wide round jaw square jaw shape face wide round jaw square jaw shape face wide round jaw square jaw shape face 
D	round shape face line 
N	jawline clear 
N	
C	face shape square 
E	v shaped face bright beige skin soft skin 
E	sharp face slight cheekbone little square jaw sharp face slight cheekbone little square jaw 
N	
E	face shape like heart jawline angled jaw size normal 
E	face heart shape 
F	v shaped face reddish white skin little oily skin 
A	beard round face 
C	face square shape skin beige clean 
B	white skin egg shape face face 
B	oval face 
D	little beard long face 
B	face shape oval forehead shape m shape forehead 
A	slightly square jaw round face shape point jaw slightly square jaw round face shape point jaw slightly square jaw round face shape point jaw 
B	face shape egg shape bright white skin 
B	white skin egg shape face face take 
D	slightly angular long face shape short black hair bang give neutral image 
D	oblong face straight forehead 
B	face oval shape cheekbone 
C	face angular skin reddish 
B	apricot skin egg shape face face 
B	face oval shape 
N	
A	bread round face 
E	sharp shape face line 
A	round shape face line 
C	squared face 
N	red flag face 
B	face oval shape jawline sharp angle 
C	face generally angle square face wrinkle face generally angle square face wrinkle 
N	
E	sharp face shape square jaw point tip jaw sharp face shape square jaw point tip jaw sharp face shape square jaw point tip jaw 
A	beard mustache round face 
D	lip light pink face shape long little chin cheek fat 
B	face shape oval raise cheekbone 
N	
A	beard round face 
C	chin angle ear large overall face shape square white skin 
B	face egg shape 
A	square jaw round face shape tip jaw square jaw round face shape tip jaw square jaw round face shape tip jaw 
D	oblong face straight broad forehead beige color face overall reddish 
N	
A	face round shape 
A	round face 
N	lot wrinkle face strange look face 
C	face shape rectangle raise cheekbone 
A	beard round face 
C	angle face square jaw point tip jaw angle face square jaw point tip jaw angle face square jaw point tip jaw 
A	shape face round shape 
A	round face deep laugh line 
B	white skin egg shape face face 
C	face shape rectangle angled jaw face color natural color face shape rectangle angled jaw face color natural color face shape rectangle angled jaw face color natural color 
B	face shape oval slightly angle forehead moderate m shaped forehead 
N	
A	face round shape 
B	face shape egg shape 
B	medium refined nose oval shape face 
B	beard long face 
E	sharp face shape jawline slight square jaw sharp face shape jawline slight square jaw sharp face shape jawline slight square jaw 
B	face oval 
F	face shape form triangle straight curved forehead 
B	oval face shape angle jawline 
N	
A	face round shape 
N	
N	
D	face shape little long circular 
C	face shape square face large face shape square face large 
C	face angle 
N	
B	ear face egg shape 
B	shape face egg shape 
A	face round shape 
D	face shape oblong doesn t fat face skeletal face shape doesn t fat face skeletal face shape 
A	beard round face 
N	face lot redness 
A	look gentle overall round face like coin 
C	face shape rectangle 
D	little mustache beard long face 
B	tall refined nose oval face 
A	keep straight face look like nice person shape face round shape 
A	face round shape 
B	face shape oval 
C	face square brother 
B	oval face 
B	face shape oval face face shape oval face 
B	medium bulk nose oval shape face clean shave angle leave face better leave ear 
C	face square type 
D	beard mustache long face 
A	face shape round golden natural color lot yellow 
E	square jaw sharp face point tip square jaw sharp face point tip 
B	face oval 
B	oval face white skin bad skin texture 
A	slight brown tone skin lot cheek fat round chin make look like round face 
C	beard angular face 
A	face line round 
E	v shaped face bright beige skin bad skin texture 
B	apricot skin egg shape face leave face 
A	long round face shape 
B	oval face red apricot skin ordinary skin texture 
N	
E	beard invert triangle face 
N	ear visible entire face red 
D	oblong face shape 
F	face shape triangle 
B	face egg shape 
C	beard angular face 
C	beard angular face 
B	oval face 
B	oval face shape 
A	round shape face line 
A	face round shape 
N	
D	beard long face 
N	
C	wear glass slightly angle face good bright impression 
D	long face 
A	round face 
B	face oval 
C	face shape slightly angle rectangle curve forehead 
A	round small face square jaw round small face square jaw 
E	slightly elongate v shaped face red white skin good skin texture 
D	beard long round face 
A	face shape circular large ear 
B	oval face pinkish white skin overall good skin texture 
N	
A	beard round face 
B	oval face dark light brown skin good skin texture 
A	round face 
E	angle v shaped face white skin good skin texture 
A	round face 
D	slightly elongate face beige skin good skin texture 
B	face egg shape 
B	medium refined nose oval shape face oblique angle leave face better leave ear 
C	face angle 
D	face long thin red yellowish skin color 
C	long slightly angled face 
D	beard long face 
N	expressionless face mouth tightly close 
A	round face 
A	round face apricot skin good skin texture 
C	face shape rectangle broad straight forehead face color cool sand color 
N	
B	face oval skin beige wrinkles blemish wrinkles face wrinkles forehead eye laugh line thick 
N	
C	face shape square straight forehead 
B	face oval 
N	
A	face shape round low face short 
A	face round skin beige entire face blemish face round skin beige entire face blemish 
A	flesh face 
B	face egg shape 
A	shape face round shape 
N	
B	face oval shape 
A	round face 
C	shape face square shape 
N	
F	face shape form long triangle face pale porcelain color beard mark upper low jaw lip 
N	
N	
D	face shape oblong 
N	
C	angle face square jaw point tip angle face square jaw point tip 
B	face oval 
E	heart shape face 
N	
B	oval face yellowish brown skin ordinary skin texture 
F	face shape triangle 
A	face round shape 
A	face round shape 
B	tall nose wide forehead egg shape face 
B	oval face 
B	chin gentle face generally round egg shape 
A	face round shape 
A	beard round face 
A	face round shape 
A	face round shape 
N	wide face face reddish 
N	
A	face round shape 
N	
D	beard long face 
D	smile line face little cheek fat long face shape 
N	earlobe small jaw jawline warm earlobe small jaw jawline warm 
B	shape face egg shape 
A	dimple cheek face shape round overall 
N	
C	face shape square curve forehead 
D	shape face long shape 
C	beard angular face 
B	bright white skin long round egg shape face 
A	face round shape 
A	round face large ear slight square jaw round face large ear slight square jaw 
C	slightly broad angled face 
N	
A	round face curved forehead 
A	round face 
D	beard long face 
D	ear visible long face shape 
E	sharp face shape point jaw small square jaw sharp face shape point jaw small square jaw sharp face shape point jaw small square jaw 
A	face round shape 
A	wide round square face shape 
C	broad face angle jaw 
N	reddish face small low jaw 
A	face shape round thin 
A	beard round face 
A	face chubby round face 
C	slightly angled face shape 
A	bread round face 
A	face round shape 
A	round face line 
N	
A	slightly square jaw round tip jaw round face shape slightly square jaw round tip jaw round face shape slightly square jaw round tip jaw round face shape 
A	round face shape small low jaw reddish face 
C	slightly wide angled face 
E	sharp face line 
B	white skin egg shape face face 
A	small refined nose round shape face 
C	face angle shape 
B	medium refined nose oval shape face 
A	round face 
C	face shape square 
A	round shape face line 
B	person picture man s s wrinkles face white skin egg shape face face 
N	
C	face shape square type 
A	beard round face 
B	egg shape face reddish white skin fine skin texture 
F	face shape triangle 
D	little mustache beard long face 
A	square jaw round face end jaw square jaw round face end jaw square jaw round face end jaw 
A	beard round face 
B	oval face slightly red bright beige skin good skin texture 
N	
A	round shape face line 
D	beard long face 
E	round shape face line sharp shape face line 
N	face flat red flag face 
C	face square shape 
A	flesh cheek chin make round face shape 
A	beard round face 
D	oblong face straight forehead slight oblique angle right face little better 
A	generally round face jaw gentle firmness 
B	face egg shape 
A	face shape round redness face generally red warm sand color face shape round redness face generally red warm sand color 
A	medium refined nose round shape face 
C	beard bloated chin nose face shape angle like pentagon face long beard bloated chin nose face shape angle like pentagon face long 
D	keep straight face look like nice person shape face long shape 
A	face round shape 
B	oval face shape wear earring strings jawline 
B	face egg shape 
N	beard cover low face 
F	beard invert triangle face 
A	beard mustache round face 
C	angled face shape 
E	face heart shape 
A	round face bright white skin good skin texture 
C	face shape square large jaw angle 
A	beard round face 
A	beard round face 
N	
N	
N	small low jaw 
C	face square shape 
B	oval face white skin good skin texture 
A	face round shape 
N	
E	elongate v shaped face beige skin decent skin texture 
C	face shape rectangle 
B	face shape oval shape curve forehead 
E	sharp face line 
A	slightly angle chin round face 
E	v shaped face white skin decent skin texture 
B	face reddish show freckle face 
B	lot wrinkle face face reddish 
A	beard round face 
C	beard angular face 
A	round face shape 
N	
A	face round shape 
A	bread round face 
B	oval face bright beige skin bad skin texture 
N	
C	face shape similar hexagon little chin fat 
B	oblong face straight forehead 
A	round face 
B	white skin egg shape face face 
A	face round shape 
A	round shape face line 
B	face type oval type wide curved forehead face color natural slight pink color cheek 
B	egg shape face bright beige skin bad skin texture 
A	shape face round shape 
B	face egg shape 
A	square jaw round face shape tip jaw square jaw round face shape tip jaw square jaw round face shape tip jaw 
E	face shape slightly m shaped wide forehead chin round face color warm natural color yellowish color 
A	face round shape 
B	face oval 
A	rounded face shape 
D	face long round 
C	face shape square type 
A	round face 
E	sharp jawline 
B	apricot skin egg shape face face 
B	face shape oval shape color face cool sand cheek nose chin pinkish 
E	sharp shape face line 
D	long face 
A	shape face round shape 
N	
N	
C	face shape rectangle 
D	face shape oblong 
B	white skin egg shape face face 
E	face shape heart shape big pointed jaw 
D	clear jawline long jaw clear jawline long jaw 
E	jawline sharp 
F	triangle face shape 
